         ps          /iirdf1_real_tb/dut/oIIR_TX    
          delta                                     
 1193567000  +1 00000000000100100100100001000011 
 1197733000  +1 00000000000100011010000101000010 
 1201899000  +1 00000000000100001111110100011110 
 1206065000  +1 00000000000100000101101111010010 
 1210231000  +1 00000000000011111011110101011010 
 1214397000  +1 00000000000011110010000110110010 
 1218563000  +1 00000000000011101000100011010110 
 1222729000  +1 00000000000011011111001011000000 
 1226895000  +1 00000000000011010101111101101100 
 1231061000  +1 00000000000011001100111011010100 
 1235227000  +1 00000000000011000100000011110100 
 1239393000  +1 00000000000010111011010111000111 
 1243559000  +1 00000000000010110010110101000111 
 1247725000  +1 00000000000010101010011101101110 
 1251891000  +1 00000000000010100010010000110110 
 1256057000  +1 00000000000010011010001110011010 
 1260223000  +1 00000000000010010010010110010100 
 1264389000  +1 00000000000010001010101000011110 
 1268555000  +1 00000000000010000011000100110011 
 1272721000  +1 00000000000001111011101011001100 
 1276887000  +1 00000000000001110100011011100100 
 1281053000  +1 00000000000001101101010101110100 
 1285219000  +1 00000000000001100110011001110110 
 1289385000  +1 00000000000001011111100111100100 
 1293551000  +1 00000000000001011000111110110111 
 1297717000  +1 00000000000001010010011111101000 
 1301883000  +1 00000000000001001100001001110001 
 1306049000  +1 00000000000001000101111101001100 
 1310215000  +1 00000000000000111111111001110010 
 1314381000  +1 00000000000000111001111111011101 
 1318547000  +1 00000000000000110100001110000110 
 1322713000  +1 00000000000000101110100101100110 
 1326879000  +1 00000000000000101001000101110110 
 1331045000  +1 00000000000000100011101110101111 
 1335211000  +1 00000000000000011110100000001011 
 1339377000  +1 00000000000000011001011010000010 
 1343543000  +1 00000000000000010100011100001110 
 1347709000  +1 00000000000000001111100110101000 
 1351875000  +1 00000000000000001010111001001001 
 1356041000  +1 00000000000000000110010011101011 
 1360207000  +1 00000000000000000001110110000110 
 1364373000  +1 11111111111111111101100000010100 
 1368539000  +1 11111111111111111001010010001101 
 1372705000  +1 11111111111111110101001011101011 
 1376871000  +1 11111111111111110001001100100111 
 1381037000  +1 11111111111111101101010100111010 
 1385203000  +1 11111111111111101001100100011101 
 1389369000  +1 11111111111111100101111011001010 
 1393535000  +1 11111111111111100010011000111001 
 1397701000  +1 11111111111111011110111101100100 
 1401867000  +1 11111111111111011011101001000100 
 1406033000  +1 11111111111111011000011011010011 
 1410199000  +1 11111111111111010101010100001001 
 1414365000  +1 11111111111111010010010011011111 
 1418531000  +1 11111111111111001111011001001110 
 1422697000  +1 11111111111111001100100101010000 
 1426863000  +1 11111111111111001001110111011110 
 1431029000  +1 11111111111111000111001111110010 
 1435195000  +1 11111111111111000100101110000101 
 1439361000  +1 11111111111111000010010010010000 
 1443527000  +1 11111111111110111111111100001101 
 1447693000  +1 11111111111110111101101011110110 
 1451859000  +1 11111111111110111011100001000101 
 1456025000  +1 11111111111110111001011011110011 
 1460191000  +1 11111111111110110111011011111010 
